,0
0,20200918220216
1,20200920210642
2,20200923233636
3,20200925191958
4,20200926172556
5,20200927230047
6,20200928190434
7,20201003235935
8,20201007222530
9,20201009211805
10,20201014214131
11,20201015212702
12,20201016211717
13,20201017213408
14,20201019234912
15,20201020225452
16,20201021182624
17,20201024184724
18,20201026193219
19,20201030192520
20,20201108194255
21,20201116235553
22,20201118193026
23,20201124192215
24,20201126193145
25,20201127192313
26,20201201193607
27,20201207234954
28,20201209193308
29,20201211192856
30,20201212191956
31,20201215193824
32,20201216192226
33,20201223225357
34,20201230192553
35,20201231192850
36,20210316231331
37,20210414205031
38,20210417223941
39,20210419231238
40,20210815232027
41,20210816225404
42,20210818202027
43,20210828211308
44,20210921230428
45,20210930184555
46,20220322232420
47,20220917232840
