,Timestamp,"//*[@id=""gbom""]/li[3]_RELOC",class namegbkp_SEL,"xpath//*[@id=""gbom""]/li[3]_SEL","//*[@id=""gbmm""]/li[4]_RELOC",class namegbmtc_SEL,"xpath//*[@id=""gbmm""]/li[4]_SEL","//*[@id=""gbw""]_RELOC",idgbw_SEL,"xpath//*[@id=""gbw""]_SEL","//*[@id=""gbzc""]/li[6]_RELOC",class namegbt_SEL,"xpath//*[@id=""gbzc""]/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gbsbb "")]_RELOC",class namegbsbb_SEL,"xpath//*[@id=""gbmmb""]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gbtb "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbts "")][1]_RELOC",class namegbts_SEL,"xpath//*[@id=""gbg""]/ol/li[2]/span_SEL","//*[@id=""SIvCob""]_RELOC",idSIvCob_SEL,"xpath//*[@id=""SIvCob""]_SEL","//*[@id=""gb_2""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbtb2 "")][1]_RELOC",class namegbtb2_SEL,"xpath//*[@id=""gb_2""]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gbp1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbtb2 "")][1]_RELOC","xpath//*[@id=""gb_1""]/span_SEL","//*[@id=""gb_51""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbts "")][1]_RELOC","xpath//*[@id=""gb_51""]/span[2]_SEL","//*[@id=""gbx4""]_RELOC",idgbx4_SEL,"xpath//*[@id=""gbx4""]_SEL","//*[@id=""gbz""]_RELOC",idgbz_SEL,"xpath//*[@id=""gbz""]_SEL","//*[@id=""gb""]_RELOC",idgb_SEL,"xpath//*[@id=""gb""]_SEL","//*[@name=""type""]_RELOC",nametype_SEL,"xpath//*[@id=""wmtb""]/input[2]_SEL","//*[@style=""position:relative; white-space:nowrap; width:675px;height:27px;""]_RELOC",idwm-graph-anchor_SEL,"xpath//*[@id=""wm-graph-anchor""]_SEL","//*[@type=""text""]_RELOC",nameurl_SEL,idwmtbURL_SEL,"xpath//*[@id=""wmtbURL""]_SEL","//*[@id=""gbzc""]/li[4]_RELOC","xpath//*[@id=""gbzc""]/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gbma "")]_RELOC",class namegbma_SEL,"xpath//*[@id=""gbztms""]/span[2]_SEL","//*[@id=""gbg5""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbtb2 "")][1]_RELOC","xpath//*[@id=""gbg5""]/span_SEL","//*[@id=""gbztm""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gbtb2 "")][1]_RELOC","xpath//*[@id=""gbztm""]/span_SEL"
15,20211014215947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,20211015111557,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
17,20211016164400,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
18,20211017132616,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
19,20211018111550,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
20,20211019111611,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
21,20211020111613,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
22,20211021161001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
23,20211022111626,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
24,20211023111553,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
25,20211024111553,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
