,Timestamp,"//*[@data-secondary-navtabs=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15cmq0k "")][5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]_RELOC",class namecss-3fig1q_SEL,"xpath//*[@id=""__next""]/div/div/div/header/nav/div/ul/li[3]/ul/li[5]/div[2]/div_SEL","//*[@id=""android-appstore""]_RELOC",idandroid-appstore_SEL,class namecss-3h5xh3_SEL,"xpath//*[@id=""android-appstore""]_SEL","//*[@color=""#4A4A4A""]_RELOC",class namecss-rsn2zi_SEL,"xpath//*[@id=""__next""]/div/div[2]/div[2]/div[2]/div/div/div/div[2]/div[2]/span_SEL","//*[@data-secondary-navbars=""true""]/li[5]_RELOC",class namecss-lhy16g_SEL,"xpath//*[@id=""__next""]/div/div/div/header/div/div/nav/ul/li[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" eyeuakq1 "")]_RELOC",class namecss-133bv9i_SEL,"xpath//*[@id=""__next""]/div_SEL","//*[@data-secondary-navbars=""true""]/li[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-1gmj4we "")][1]_RELOC",class namecss-1gmj4we_SEL,"xpath//*[@id=""__next""]/div/div/div/header/div/div/nav/ul/li[5]/div[2]/div/div_SEL","//*[@data-secondary-navbars=""true""]/li[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-s4rq2k "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-x94a7s "")][1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15em6we "")][6]_RELOC",class namecss-15em6we_SEL,"xpath//*[@id=""__next""]/div/div/div/header/div/div/nav/ul/li[2]/div[2]/div/div[2]/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" e1cf83wn1 "")]_RELOC",class namecss-w6rfz6_SEL,"xpath//*[@id=""__next""]/div/div[2]/div[2]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" e1poqtzi8 "")]_RELOC",class namecss-op6gf6_SEL,"xpath//*[@id=""__next""]/div/div[2]/div[2]/div[4]/section/div/div[3]/div_SEL","//*[@id=""__next""]_RELOC",id__next_SEL,"xpath//*[@id=""__next""]_SEL","//*[@data-linkid=""74qg7q""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-1eg9qtk "")][7]_RELOC",class namecss-1eg9qtk_SEL,"xpath//*[@id=""__next""]/div/div[2]/div[2]/div[4]/section/div/div[2]/ul/li[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ej78dbk1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-1w5ucwd "")][4]_RELOC",class namecss-1w5ucwd_SEL,"xpath//*[@id=""__next""]/div/div[3]/footer/div/ul/li[4]_SEL","//*[@data-secondary-navbars=""true""]/li[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-s4rq2k "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-x94a7s "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-1ftrdo3 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15em6we "")][1]_RELOC","xpath//*[@id=""__next""]/div/div/div/header/div/div/nav/ul/li[5]/div[2]/div/div[2]/div/ul/li_SEL","//*[@id=""wm-media-button""]_RELOC",idwm-media-button_SEL,"xpath//*[@id=""wm-media-button""]_SEL","//*[@data-secondary-navtabs=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15cmq0k "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-s4rq2k "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-x94a7s "")][1]_RELOC",class namecss-x94a7s_SEL,"xpath//*[@id=""__next""]/div/div/div/header/nav/div/ul/li[3]/ul/li[2]/div[2]/div/div[2]/div_SEL","//*[@data-account-icon-signedin=""true""]_RELOC",class namecss-ki1d0c_SEL,"xpath//*[@id=""__next""]/div/div/div/header/nav/div/ul/li[4]/div/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" e1h4cv3f3 "")]_RELOC",class namecss-11thu7r_SEL,"xpath//*[@id=""__next""]/div/div[3]/footer/div/span/div_SEL","//*[@data-secondary-navtabs=""true""]/li[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-s4rq2k "")][1]/div[1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15em6we "")][4]_RELOC","xpath//*[@id=""__next""]/div/div/div/header/nav/div/ul/li[3]/ul/li/div[2]/div/div[2]/div/ul/li[4]_SEL","//*[@data-secondary-navtabs=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-15cmq0k "")][5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-lb3wsw "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-3fig1q "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" css-s4rq2k "")][1]_RELOC",class namecss-s4rq2k_SEL,"xpath//*[@id=""__next""]/div/div/div/header/nav/div/ul/li[3]/ul/li[5]/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" end6u7i2 "")]_RELOC",class namecss-1xa4ifi_SEL,"xpath//*[@id=""__next""]/div/div[2]/div[2]/div[4]/section/div/div[3]_SEL"
0,20220216155432,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,1,1,1,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
1,20220217232823,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
2,20220218225723,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
3,20220219225650,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
4,20220220115701,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
5,20220221031137,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,56,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
6,20220222233154,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
7,20220223185725,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
8,20220224050507,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
9,20220225112828,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
10,20220226152039,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
11,20220227010606,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
12,20220228072640,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
13,20220301194905,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
14,20220302172937,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
15,20220303025643,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
16,20220304114252,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
17,20220305111725,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
18,20220307233143,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
19,20220308195242,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,1,1,1,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
20,20220309214501,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
21,20220310205942,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
22,20220311021801,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
23,20220312204158,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
24,20220313232013,1,10,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,10,2,1,54,1,1,1,1,1,1,1,1,1,1,1,27,1,1,4,2,1,3,0,0,0,1,10,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1
