,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[1]/div[5]/div[1]/div[2]/div[1]/div[1]/input[1]_RELOC",idfxg-externalIconPath_SEL,"xpath//*[@id=""fxg-externalIconPath""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[1]/div[5]/div[1]/div[1]/div[5]/div[1]_RELOC",class namelink_SEL,xpath//html/body/div[2]/div[2]/div/div[5]/div/div/div[5]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[7]/div[2]/div[1]/div[1]/div[1]/div[1]/p[1]_RELOC",xpath//html/body/div[2]/div[2]/div[7]/div[2]/div/div/div/div/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]_RELOC",class namerow_SEL,xpath//html/body/div[2]/div[2]/div[2]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[3]_RELOC",class namefxg-col_SEL,xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[3]_SEL,"//*[@id=""follow-fedex""]_RELOC",class namefxg-title_SEL,idfollow-fedex_SEL,"xpath//*[@id=""follow-fedex""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[6]/div[2]/div[1]/div[1]/div[1]/div[1]/p[2]_RELOC",xpath//html/body/div[2]/div[2]/div[6]/div[2]/div/div/div/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[9]/div[2]/div[1]/div[2]/div[1]/div[1]/p[3]_RELOC",xpath//html/body/div[2]/div[2]/div[9]/div[2]/div/div[2]/div/div/p[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[3]/div[1]/div[1]/p[13]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[3]/div/div/p[13]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[4]/div[1]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[4]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[3]/div[1]/div[1]/p[4]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[3]/div/div/p[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[7]/div[2]/div[1]/div[1]/div[1]/div[1]/p[2]_RELOC",xpath//html/body/div[2]/div[2]/div[7]/div[2]/div/div/div/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[5]/div[2]/div[1]/div[3]/div[1]_RELOC",class namerichtext_SEL,xpath//html/body/div[2]/div[2]/div[5]/div[2]/div/div[3]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]_RELOC",class namefxg-wrapper_SEL,xpath//html/body/div[2]/div[2]/div[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/p[8]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[2]/div/div/p[8]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[4]/div[2]/div[1]/div[2]/div[1]/div[1]/p[4]_RELOC",xpath//html/body/div[2]/div[2]/div[4]/div[2]/div/div[2]/div/div/p[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[2]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/p[14]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[2]/div/div/p[14]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/p[3]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[2]/div/div/p[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[8]/div[2]/div[1]/div[1]/div[1]/div[1]_RELOC",class namefxg-rte_SEL,xpath//html/body/div[2]/div[2]/div[8]/div[2]/div/div/div/div_SEL
23,20220325213410,0,69,69,0,69,0,0,0,0,14,0,0,12,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0
24,20220326115139,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
25,20220327180820,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
26,20220328180214,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
27,20220329202458,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
28,20220330221526,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
29,20220331234743,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
30,20220401230448,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
31,20220402154555,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
32,20220403203833,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
33,20220404222458,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
34,20220405193209,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
35,20220406211648,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
36,20220407071737,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
37,20220408131715,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
38,20220409204512,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
39,20220410094853,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
40,20220411221042,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
41,20220412163443,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
42,20220413154936,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
43,20220414183621,1,18,18,1,36,0,1,0,1,13,0,1,31,0,1,11,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,87,0,1,14,0,1,0,1,0,1,0,1,0,1,0,1,23,0
44,20220415074149,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
45,20220416123701,1,18,18,1,36,2,1,11,1,13,1,1,31,1,1,11,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,87,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,23,1
