,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-banner "")]_RELOC",class nametop-banner_SEL,xpath//[document]/body/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][3]_RELOC",class namedropdown_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchants "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/p[1]_RELOC",xpath//[document]/body/div[5]/div/div[2]/div/div/div[2]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-capt "")][1]_RELOC",class namelogo-capt_SEL,xpath//[document]/body/div[3]/div/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][2]_RELOC",class namecol-md-6_SEL,xpath//[document]/body/div[6]/div/div/div/div/div[2]_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[18]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[18]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content-txt "")][1]_RELOC",class namestat-content-txt_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" sr-only "")]_RELOC",class namesr-only_SEL,xpath//[document]/body/div[4]/div/div/div/span/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",class namerow_SEL,xpath//[document]/body/div[6]/div/div/div/div_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indent-menu "")][6]_RELOC",class nameindent-menu_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" navigation "")]_RELOC",class namenavigation_SEL,xpath//[document]/body/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][2]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[3]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[14]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[14]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[8]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[8]_SEL","//*[@id=""wm-media-curtain""]_RELOC",idwm-media-curtain_SEL,"xpath//*[@id=""wm-media-curtain""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sidebar "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")][4]_RELOC",class namestat_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" collapsed "")]/span[4]_RELOC",class nameicon-bar_SEL,xpath//[document]/body/div[4]/div/div/div/span/span[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]_RELOC",class namestat-content_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]_RELOC",class namefooter-link_SEL,xpath//[document]/body/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid "")]_RELOC",class namecontainer-fluid_SEL,xpath//[document]/body/div[7]/div_SEL
0,20210416161115,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
1,20210417115020,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
2,20210418175159,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
3,20210419043353,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
4,20210420225516,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
5,20210421021625,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
6,20210422122808,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
7,20210424104336,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
8,20210425102054,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
9,20210426022739,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
10,20210427101826,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
11,20210428071008,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
12,20210429234807,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
13,20210430235953,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
14,20210501224552,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
15,20210502071614,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
16,20210503171731,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
17,20210504095711,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
18,20210505012003,1,1,0,1,4,1,1,0,1,1,0,1,4,0,1,1,1,4,0,1,1,0,1,6,0,1,11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,0,1,1,0,1,1,0
