,Timestamp,"//*[@id=""videoListModal""]/div[1]/div[1]/div[1]_RELOC",class namemodal-body_SEL,"xpath//*[@id=""videoListModal""]/div/div/div_SEL","//*[@id=""navigation""]_RELOC",class namerow_SEL,idnavigation_SEL,"xpath//*[@id=""navigation""]_SEL","//*[@style=""display:none;""]/li[2]_RELOC","xpath//*[@id=""inb-list""]/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[7]_RELOC",class namedropdown_SEL,"xpath//*[@id=""primary_navigation""]/li[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" overlay-content "")]/div[5]/div[1]_RELOC",class namecol-xs-6_SEL,"xpath//*[@id=""netbanking_popup_mob""]/div/div[5]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[2]/ul[1]/li[1]_RELOC","xpath//*[@id=""primary_navigation""]/li[2]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" overlay-content "")]/div[2]/div[1]_RELOC","xpath//*[@id=""netbanking_popup_mob""]/div/div[2]/div_SEL","//*[@id=""service_charge_detail""]/div[1]_RELOC",class namemodal-dialog_SEL,"xpath//*[@id=""service_charge_detail""]/div_SEL","//*[@id=""moreUsefulLinks_cont""]/div[3]/div[1]/ul[1]/li[1]_RELOC",class namelist-group-item_SEL,"xpath//*[@id=""moreUsefulLinks_cont""]/div[3]/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[10]/ul[1]/li[1]/ul[1]/li[2]_RELOC","xpath//*[@id=""sub-menu""]/li/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" overlay-content "")]/div[9]/div[1]_RELOC","xpath//*[@id=""netbanking_popup_mob""]/div/div[9]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[10]/a[1]/span[1]_RELOC",class namecaret_SEL,"xpath//*[@id=""primary_navigation""]/li[10]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[3]/ul[1]/li[4]_RELOC","xpath//*[@id=""primary_navigation""]/li[3]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" overlay-content "")]/div[1]/div[1]_RELOC","xpath//*[@id=""netbanking_popup_mob""]/div/div/div_SEL","//*[@id=""videoListModal""]_RELOC",idvideoListModal_SEL,class namemodal_SEL,"xpath//*[@id=""videoListModal""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" corp_section "")]/div[2]/p[1]_RELOC","xpath//*[@id=""banking""]/div[2]/div/div[2]/p_SEL","//*[@id=""myCarousel""]_RELOC",idmyCarousel_SEL,class namecarousel_SEL,"xpath//*[@id=""myCarousel""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" maintxt "")]/li[10]_RELOC","xpath//*[@id=""primary_navigation""]/li[10]_SEL","//*[@id=""wrapper""]/div[7]_RELOC","xpath//*[@id=""wrapper""]/div[7]_SEL","//*[@id=""moreUsefulLinks_cont""]/div[1]/div[1]/ul[1]/li[3]_RELOC","xpath//*[@id=""moreUsefulLinks_cont""]/div/div/ul/li[3]_SEL"
0,20220106000512,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
1,20220107003016,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
2,20220108195511,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
3,20220109125252,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
4,20220110041725,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
5,20220111092749,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
6,20220112105227,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
7,20220113143207,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
8,20220114134842,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
9,20220115063422,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
10,20220120171751,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
11,20220121155656,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
12,20220123200046,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
13,20220124200015,1,6,1,1,33,1,1,1,1,1,4,1,1,28,2,1,2,1,2,1,6,1,1,34,4,1,1,1,2,1,12,1,1,1,1,26,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4
