,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" start-page "")]/span[1]_RELOC",class namesr-only_SEL,"xpath//*[@id=""mountId""]/div/main/section/div/div/span/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/div[1]_RELOC",class namefooter-room__home-smart-button-glow_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-content "")]/div[3]_RELOC",class namefooter-content__column_SEL,"xpath//*[@id=""mountId""]/footer/div/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]/p[1]_RELOC",class namesvelte-10yoal6_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[4]/div[2]/span[1]_RELOC",class namearrow-holder_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[4]/div[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__room "")]/div[1]_RELOC",class namefooter-room_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div_SEL","//*[@tabindex=""0""]/span[2]_RELOC","xpath//*[@id=""mountId""]/div/nav/div/button/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]_RELOC",class namefooter-room__home-smart-buttons_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]_RELOC",class namefooter-room__home-smart-button_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/button[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button/span_SEL","//*[@id=""mountId""]/div[2]_RELOC",class nameregion-links_SEL,"xpath//*[@id=""mountId""]/div[2]_SEL","//*[@tabindex=""0""]_RELOC",class namesvelte-1cgqpdj_SEL,"xpath//*[@id=""mountId""]/div/nav/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[3]/div[2]/p[1]_RELOC","xpath//*[@id=""mountId""]/div/main/section[2]/a[3]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sub "")]/div[1]_RELOC",class nameholder_SEL,"xpath//*[@id=""mountId""]/div/main/section/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]_RELOC",class namecontent_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/button/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tablet-max "")]_RELOC",class namevideo-container_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a/div/div[2]/div_SEL"
17,20220220222303,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
18,20220221232323,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
19,20220222234447,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
20,20220223191050,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
21,20220224230833,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
22,20220225235803,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
23,20220226235828,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
24,20220227225824,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
25,20220228233421,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
26,20220301223948,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
27,20220302204416,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
28,20220303225634,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
29,20220304233117,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
30,20220305232835,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
31,20220306234829,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
32,20220307235515,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
33,20220308235715,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
