,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ups-accordion_content "")]/div[5]_RELOC",class nameups-accordion_item_SEL,"xpath//*[@id=""ups-langSelect""]/div/div[2]/div/div[5]_SEL","//*[@lang=""it""]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[37]_SEL","//*[@aria-labelledby=""ups-imagemap6""]/li[1]_RELOC","xpath//*[@id=""ups-imagemap6_links""]/li_SEL","//*[@aria-labelledby=""ups-imagemap5""]/li[9]_RELOC","xpath//*[@id=""ups-imagemap5_links""]/li[9]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[12]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[12]_SEL","//*[@aria-labelledby=""ups-imagemap6""]/li[3]_RELOC","xpath//*[@id=""ups-imagemap6_links""]/li[3]_SEL","//*[@id=""iw_comp1629400065309""]_RELOC",class nameiw_component_SEL,idiw_comp1629400065309_SEL,"xpath//*[@id=""iw_comp1629400065309""]_SEL","//*[@aria-labelledby=""ups-imagemap5""]/li[3]_RELOC","xpath//*[@id=""ups-imagemap5_links""]/li[3]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[7]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[7]_SEL","//*[@aria-labelledby=""ups-imagemap1""]/li[30]_RELOC","xpath//*[@id=""ups-imagemap1_links""]/li[30]_SEL","//*[@lang=""FR""]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[46]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[14]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[14]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[16]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[16]_SEL","//*[@id=""colksjaq8t4""]_RELOC",class nameiw_columns_SEL,idcolksjaq8t4_SEL,"xpath//*[@id=""colksjaq8t4""]_SEL","//*[@aria-labelledby=""ups-imagemap3""]/li[30]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[30]_SEL","//*[@id=""ups-footer""]_RELOC",idups-footer_SEL,class nameups-footer_light_SEL,"xpath//*[@id=""ups-footer""]_SEL","//*[@aria-controls=""ups-imagemap3_links""]/i[1]/span[1]_RELOC",class nameicon_SEL,"xpath//*[@id=""ups-imagemap3""]/i/span_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[2]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[2]_SEL","//*[@aria-labelledby=""ups-imagemap4""]/li[1]_RELOC","xpath//*[@id=""ups-imagemap4_links""]/li_SEL","//*[@aria-labelledby=""ups-imagemap3""]/li[68]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[68]_SEL"
13,20220315233149,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
14,20220316214013,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
15,20220317175036,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
16,20220318204726,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
17,20220319233219,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
18,20220320235111,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
19,20220321232706,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
20,20220322235319,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
21,20220323235447,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
22,20220324235850,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
23,20220325235933,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
24,20220326235929,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
25,20220327234813,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
26,20220328232007,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
27,20220329233747,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
28,20220330225929,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
29,20220331234042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,1,1,1,0,9,0,0,0,0,0,0,0
30,20220401231823,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
31,20220402121047,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
32,20220403225631,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
33,20220404170324,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
34,20220405200051,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
35,20220406214217,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
