,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-12 "")][2]/p[1]_RELOC","xpath//*[@id=""lang_en""]/div[3]/div/div/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-3 "")]_RELOC",class namehome-section-3_SEL,"xpath//*[@id=""lang_en""]/div[2]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-4 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-6 "")][2]_RELOC",class namecol-sm-6_SEL,"xpath//*[@id=""lang_en""]/div[2]/div[4]/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-2-list "")]/li[1]/p[1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div[2]/div/div/div/ul/li/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-4-1 "")]/p[1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div[4]/div/div/div/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" header "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC",class namecontainer_SEL,"xpath//*[@id=""lang_en""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" exts "")]_RELOC",class nameexts_SEL,"xpath//*[@id=""lang_en""]/div[2]/div/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-12 "")][2]_RELOC",class namecol-sm-12_SEL,"xpath//*[@id=""lang_en""]/div[3]/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ddlanguage "")]/li[1]_RELOC","xpath//*[@id=""bs-navbar-collapse""]/ul/li[3]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-2-list "")]/li[4]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div[2]/div/div/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-4 "")]_RELOC",class namehome-section-4_SEL,"xpath//*[@id=""lang_en""]/div[2]/div[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" exts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-4 "")][3]_RELOC",class namecol-sm-4_SEL,"xpath//*[@id=""lang_en""]/div[2]/div/div/div/div[2]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-width "")]_RELOC",class namecontainer-width_SEL,"xpath//*[@id=""lang_en""]/div/div/div/div[2]/nav/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-3 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-12 "")][1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hidden-xs "")]_RELOC","xpath//*[@id=""lang_en""]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" exts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-4 "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ext-block "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ext-block-content "")][1]/p[1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div/div/div/div[2]/div[3]/div/a/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-4-1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" title "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" title-border "")][1]_RELOC",class nametitle-border_SEL,"xpath//*[@id=""lang_en""]/div[2]/div[4]/div/div/div/div/div/span_SEL","//button[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icon-bar "")][2]_RELOC",class nameicon-bar_SEL,"xpath//*[@id=""lang_en""]/div/div/div/div[2]/nav/div/div/button/span[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section-4 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-6 "")][1]_RELOC","xpath//*[@id=""lang_en""]/div[2]/div[4]/div/div/div_SEL"
24,20200307224746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,20200314101121,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
26,20200315112709,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,20200319091618,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
28,20200320114136,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
29,20200324083820,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
30,20200328195017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,20200331065810,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,20200405002302,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
33,20200409191059,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
34,20200410015201,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
35,20200416134703,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
36,20200417055948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,20200418074601,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
38,20200419155000,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
39,20200427113746,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
40,20200506030946,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
41,20200509113825,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
42,20200511141027,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
43,20200512130935,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
44,20200513234534,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False
45,20200517125210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,20200518212654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,20200526055536,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
