,Timestamp,"//*[@id=""modalID""]//*[@role=""document""]/*[@tabindex=""-1""][1]_RELOC",class namemodal-body_SEL,"xpath//*[@id=""modalID""]/div/div[2]/div[2]/div_SEL","//*[@id=""citi-modal-8240""]//*[@role=""document""]/*[@tabindex=""-1""][1]/*[@tabindex=""-1""][2]_RELOC",class namemodal-body-content_SEL,"xpath//*[@id=""citi-modal-8240""]/div/div[2]/div[2]/div/div[2]_SEL","//*[@idstr=""clearUserIdModal""]_RELOC","xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-hero/div/div/nga-login/citi-modal[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ct-banner-alert-box"")]_RELOC",class namect-banner-alert-box_SEL,"xpath//*[@id=""clearuser-alert-id""]/citi-banner-alert/div/div_SEL","///*[contains(concat("" "", normalize-space(@class), "" ""), "" alignmentEl"")]_RELOC",class namealignmentEl_SEL,"xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-hero/div/div/nga-login/citi-jamp/div/div_SEL","//*[@idstr=""password""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" form-control-container"")][1]_RELOC",class nameform-control-container_SEL,"xpath//*[@id=""logInForm""]/form/div/citi-signon2/section/div[2]/div[2]/citi-input2/div_SEL","//*[@id=""modalID""]//*[@role=""document""]/*[@tabindex=""-1""][1]/*[@tabindex=""-1""][2]_RELOC","xpath//*[@id=""modalID""]/div/div[2]/div[2]/div/div[2]/p_SEL","//*[@id=""signInBtn""]_RELOC",class namebtn_SEL,idsignInBtn_SEL,"xpath//*[@id=""signInBtn""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" theme-light"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row"")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xs-6"")][1]_RELOC",class namecol-xs-6_SEL,"xpath//*[@id=""logInForm""]/form/div/citi-signon2/section/div[5]/div_SEL","//*[@id=""modal""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" theme-light"")]_RELOC",class nametheme-light_SEL,"xpath//*[@id=""modal""]/div/div[2]/div[2]/div/div[2]/div/div_SEL","//*[@id=""safeMode""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]_RELOC",class namemodal-content_SEL,"xpath//*[@id=""safeMode""]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" theme-light"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row"")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xs-6"")][3]_RELOC","xpath//*[@id=""logInForm""]/form/div/citi-signon2/section/div[5]/div[3]_SEL","//*[@id=""qrCodeModal_Nga""]/*[@tabindex=""-1""][1]/*[@tabindex=""0""][1]_RELOC",class namecdk-visually-hidden_SEL,"xpath//*[@id=""qrCodeModal_Nga""]/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" threeUp"")]_RELOC",class namethreeUp_SEL,"xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-three-up/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mod-seven"")][1]_RELOC",class namemod-seven_SEL,id_SEL,"xpath//*[@id=""""]_SEL","xpath//*[@id=""qrCodeModal_Nga""]/div/div_SEL","//*[@id=""modal""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" header"")]_RELOC",class nameheader_SEL,"xpath//*[@id=""modal""]/div/div[2]/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" primary"")]_RELOC",class nameprimary_SEL,xpath//html/body/app-root/cbol-core/citi-parent-layout/div/citi-header/div/div_SEL,"//*[@id=""modal""]//*[@role=""document""]/*[@tabindex=""-1""][1]/*[@tabindex=""-1""][2]_RELOC","xpath//*[@id=""modal""]/div/div[2]/div[2]/div/div[2]_SEL","//*[@id=""modal""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" text-right"")]_RELOC",class nametext-right_SEL,"xpath//*[@id=""modal""]/div/div[2]/div[3]/div_SEL"
17,20220405220452,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
18,20220406233527,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
19,20220407222612,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
20,20220408230359,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
21,20220409220023,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
22,20220410224331,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
23,20220411223745,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
24,20220412232206,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
25,20220413231452,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
26,20220414232353,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
27,20220415151343,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
28,20220416210048,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
29,20220417233043,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
30,20220418160304,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
31,20220419230404,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
32,20220420145651,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
33,20220421150753,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
34,20220422061059,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
35,20220423210835,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,1,1,1,1,1,5,1
36,20220424220115,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
37,20220425031328,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
38,20220426122905,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
39,20220427210740,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
40,20220428152536,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
41,20220429072124,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
42,20220430204743,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
43,20220501234353,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
44,20220502072512,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
45,20220503144014,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
46,20220504232428,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
47,20220505204318,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
48,20220506213523,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
49,20220507222723,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
50,20220508233421,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
51,20220509202232,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
52,20220510215909,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
53,20220511224535,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
54,20220512232244,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
55,20220513235348,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
56,20220514120115,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
57,20220515182459,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
58,20220516100925,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
59,20220517161406,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
60,20220518112838,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
61,20220519194140,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
62,20220520172605,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
63,20220521135502,1,6,1,0,6,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,4,1,1,1,6,4,1,3,2,1,6,1,1,1,1,12,1,1,1,1,1,1,0,3,3,1,4,2,1,0,1,1,1,1,5,1
64,20220522194222,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
65,20220523230738,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
66,20220524135447,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
67,20220525074400,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
68,20220526151849,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
69,20220527095120,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
70,20220528103514,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
71,20220529170355,1,5,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,7,0,1,3,2,0,4,0,0,0,0,13,0,0,0,0,1,1,0,4,0,1,5,2,1,0,1,1,1,1,3,1
